impact          Caractéristique Nom du règne    Description                                                                                                                                                                     
                                Règne Minéral   Le règne Minéral regroupe des êtres conscients dont le corps est fait de matières minérales. Le règne minéral est le règne le plus ancien et regroupe certaines des races les pl
Force +1        Force           Race Lavinfern  La race Lavinfern est originaire d'une lune de Crematoria détruite lors du conflit Illyrien. Le corps des Lavinferns est constitué de lave et leur température naturelle avoisin
Endurance +1    Endurance       Race Crystallim Les Crystallim sont des cristaux conscients. Leurs mouvements sont étonnament rapides étant donné leur mode de déplacement par croissance crystalline. Les Crystallims sont asse
Vitesse +1      Vitesse         Race Sab'eldune La race Sab'eldune est entièrement constitué d'une matière apparentée au sable. Les Sab'eldune prennent l'apparence d'une tempête de sable et sont en permanence en mouvement. L
Perception +1   Perception      Race CybornétikrLa race Cybornétik est une des plus récentes races rattachée au règne minéral. Cette race autodéclarée réunit un groupe hétérogène de races issues de la robotique universelle. 
Précision +1    Précision       Race Ar'gyl     Les Ar'gyl forment une société extrêmement fermée et hiérarchisée. Leurs relations avec les autres sociétés de l'univers se maintiennent au minimum vital. Leur planète de naiss
Social +2       Social          Race Grannti    Les Grannti sont une race d'être conscients dont la taille varie entre 5 et 7 mètres de haut. Ils sont d'une puissance physique et d'une résistance proverbiale en revanche leur
Intelligence +1 Intelligence    Race Bazalti    Le corps des membres de la race Bazalti est sombre et anguleux. Leur race est réputée pour son appétit pour les conflits et la brutalité de leurs moeurs. Leur intelligence est 
Sensibilité +1  Sensibilité     Race Corayy     La race Corayy est aquatique. Leur temporalité est tellement lente que lors des premiers contacts avec les humains, ces derniers ne prirent pas consience du fait qu'ils étaient
Volonté +2      Volonté         Race Astreroidd La race Astreroidd est l'une des plus mystérieuse actuellement connue. Les Astreroidd vivent dans l'espace, ils sont constitués de corps célestes qui ne semblent pas avoir le m
                                                
                                Planètes        
                                                
               2                Arrakis         La planète désertique typique. C'est là que les vers géants vivent ainsi que les peuples Fremen, des humains ayant abusés de drogues pour survivre sur cette planète hostile. On
              -2                Coruscant       Coruscant est une planète désormais entièrement couverte par des villes sur plusieurs kilomètres de hauteur. La planète a perdu son ecosystème depuis plusieurs siècles. Elle a 
              -1                Krypton         La planète Krypton est en fait une ancienne planète fracturée. Suite à un événement géologique majeur, la planète a été détruite et maintenant plusieurs morceaux de la taille d
              -1                Mars            La planète Mars est l'une des plus célèbre planète usine du Quadrant GB 300678. Entièrement dédiée à la production de l'industrie humaine, la planète à été plusieurs fois rappr
              -2                Crematoria      Crématoria est une planète de la taille de la Terre extrêmement proche de son soleil et sans atmosphère. L'ensemble de ses installations est donc interne, sous sa croûte. La pl
              -1                Helios Prime    Helios Prime est l'une des cinq planètes du système Helios, réputé pour la liberté politique et artistique de ses habitants. Helios Prime est très largement immergée avec un ta
              -1                Serh Payzh      La planète Serh Payzh est l'une des plaques tournantes de l'énergie dans l'univers. D'immenses cuves contiennent les différents carburants des navettes et véhicules du monde. S
               2                Enteuges V      Le système Hautloa R est l'un des plus sauvage de l'univers. Très peu de planètes sont habitées et lorsqu'elles le sont c'est par des hordes sauvages avides de rapines, de meur
               2                Septim          Septim est l'une des planètes garnison la plus ancienne, elle est réputée imprenable depuis plus de 100 000 ans. Ses habitants des Bazalti particulièrement petits et grincheux 
               0                Saw'Ggh         Saw'Ggh est la troisième planète de son sytème, elle est particulièrement tempérée, bénéficie d'un climat agréable et d'une végétation et d'une vie animale foisonnante. L'activ
               0                Sey Suell       Sey Suell est plutôt un système qu'une planète. Il s'agit d'un ensemble de deux planétoïdes ayant chacun un diamètre de moins de 1000 kilomètres. Leur gravité de 6 mètres par s
               1                Chorr'Jhh       Dans tout l'univers Chorr'Jhh est réputée comme étant la planète idéale pour les vacances toute une série d'agences de voyages proposent des itinéraires à leurs ressortissants.
              -2                Béssinmishell   La planète Béssinmishell est l'une des plus secrètes de la galaxie. Elle fait figure de mythe pour la plupart des aventuriers de l'espace. Cette planète aurait la particularité
               2                Ey Zin Pin Ey   Ey Zin Pin Ey est l'un des exemples les plus marquants de planète symétrique de l'univers. L'hémisphère nord est appelé Zin et le sud Pin. Tout ce qui se passe sur un hémisphèr
               0                Lécuv           
               2                Zhell Shu       
               0                Monç            
              -2                Mett Z          
