Fins aléatoires	un texte qui décrit comment le monde disparaît l'objectif est de faire court et expéditif
1	La lumière du soleil est plus intense qu'habituellement. A vrai dire, l'intensité est même à la limite de la gêne. A y regarder plus attentivement, tu constates qu'il ne s'agit pas de la lumière du soleil mais que c'est apparemment l'univers en entier qui est en flammes. Tu n'as pas le temps de t'en rendre compte que la fin du monde t'a emporté.
2	Soudain un son puissant te parvient, après quelques secondes il devient pénible et après une minute tous les êtres vivants ont leurs molécules brisées par ce son mystérieux. Après une heure, ce sont les atomes qui se brisent sous le coup de cette vibration qui se révèle être plus qu'un simple son. La trame de l'univers se brise. 
3	Le présentateur de la télévision semble inquiet. Il annonce "le stock d'armes nucléaires de l'ex URSS vient d'être déclenché. D'après nos experts, quelques planètes risquent d'être détruites". A ce moment, tout disparaît autour de toi. Ces damnés experts se sont visiblement trompés, il y avait largement de quoi détruire l'univers. 
4	A ce moment précis, le temps s'arrête. Sans prévenir, sans provoquer la moindre destruction ou la moindre douleur. Mais une fois que le temps est arrêté, c'est quand même un peu la fin du monde.
5	A ce moment un étrange homme à la peau violette apparaît dans un vaisseau futuriste et sème la mort dans tout l'univers grâce à un curieux gant coloré. Il a gagné et tout le monde a perdu.
6	Soudain toute la matière du monde se transforme subitement en anti-matière. Personne ne s'y attendait et cela  provoque immédiatement le fait que tout ce qui était vivant devient anti-vivant. On pourrait croire que l'anti-vie est intéressante mais non, c'est simplement la mort. 
7	Alors que tu te regardes ton reflet dans la baie vitrée tu constates que ton visage est remplacé par un nuage de fumée. Apparemment tu n'es pas le seul parce que tous les êtres vivants se sont transformés en fumée. L'univers est vide.
8	Soudain Jésus revient. Malheureusement son retour n'est pas tellement une bonne nouvelle parce que cela signifie que c'est l'heure de l'apocalypse. Il y a peut être des élus mais apparemment toi, tu n'en fais pas partie.
9	Assez rapidement, tu commence à sentir qu'il fait un peu frisquet, puis froid puis très froid. Après quelques minutes l'univers en entier est au zéro absolu et aucune source d'énergie ne semble capable de produire de chaleur. Tous les êtres vivants sont alors figés pour l'éternité. 
10	
11	
12	
13	
14	
15	
