impact	Caractéristique	Nom du règne	Description	Type Sexe	Sexué	Introduction de la race (pour caractériser la race : "tu te réveilles en ayant froid pour un Lavinfern"	Age min	Age max	impacts					
		Règne Minéral	Le règne Minéral regroupe des êtres conscients dont le corps est fait de matières minérales. Le règne minéral est le règne le plus ancien et regroupe certaines des races les plus résistantes et à la plus grande longévité de l'univers. Bien qu'il regroupe des races très différentes, les races minérales sont généralement très réfléchies, puissantes et peu sensibles au monde magique. 		décrire les différents sexes de la race séparés d'un espace									
Force +1	Force	Race Lavinfern	La race Lavinfern est originaire d'Imelda une lune de Crematoria détruite lors du conflit Illyrien. Le corps des Lavinferns est constitué de lave et leur température naturelle avoisine les 2000 degrés Celsius. Entièrement fluides les Lavinferns sont lents comparativement à des humains mais ils peuvent déformer leur corps de façon à traverser différents milieux. Les Lavinferns sont très résistants mais ils sont très sensibles au froid ce qui les oblige à passer l'essentiel de leur temps social avec un scaphandre très isolant. Les Lavinfern ont dans la Galaxie plutôt mauvaise presse, de nombreux peuples ont des a prioris très négatifs pour cette race qui est souvent assimilé aux forces du mal. Dans leur longue histoire, les Lavinferns ont été à plusieurs reprises liés a des cabales mystiques du fait de leur très grande sensibilité aux fluctuations magiques.	Sexe	m f	Tu as tellement froid que tu penses un instant que tu n'as plus ton scaphandre. Mais tu es soulagé lorsque tu essaies de t'asseoir et que tu sens le poids familier de ta tenue isolante. C'est juste le sommeil qui a dû faire baisser ta température corporelle de quelques centaines de degrés. D'ici quelques heures tu auras retrouvé ta température de confort. Une fois assis, tu regardes autour de toi.	5	900	Force +15	Vitesse -15				
Endurance +1	Endurance	Race Crystallim	Les Crystallim sont des cristaux conscients. Leurs mouvements sont étonnament rapides étant donné leur mode de déplacement par croissance crystalline. Les Crystallims sont assez fragiles mais ont pour particularité de partager un esprit commun avec leurs congénères. Les spécialistes humains appellent cela la résonnance, les Crystallims semblent capables de vibrer sur une fréquence commune qui leur permet de se mettre en empathie. Dans cet état tous les crystallims présents dans la pièce agissent comme une seule entité consciente. Lors des guerres du Septant l'emporium scientifique Paragytt avait essayé d'inhiber cette capacité par des brouilleurs mais cela a été un échec qui leur a couté l'annihilation. Les Crystallim ont une durée de vie très courte, ce qui est souvent ignoré des autres races dans la mesure où ils croissent les uns à partir des autres. Il est très difficile de distinguer un individu d'un autre. Les Crystallims n'ont que très peu d'affinités avec les fluctuations magiques.	Phase cristalline	fcc bcc hcp tetragonal	Tu sens sous toi un lit de pierre. Tu actives ta croissance cristalline pour t'étaller sur le lit et en sentir chaque aspérités. Tes membres cristallins se mettent à entrer en résonnance afin d'émettre des ultras sons qui sont renvoyés par les obstacles alentours puis captés par tout ton corps. Cela te permet très rapidement d'avoir une connaissance précise de ton environement. Une sensation de vide te remplit alors que tu réalises que tu n'as aucune perception de ce qu'il y a au delà des murs qui t'entourent. Il n'y a qu'une seule explication à cela, ces murs doivent être fait du légendaire métal octoquasicristique...	1	30	Vitesse +10	Endurence -5				
Vitesse +1	Vitesse	Race Sab'eldune	La race Sab'eldune est entièrement constitué d'une matière apparentée au sable. Les Sab'eldune prennent l'apparence d'une tempête de sable et sont en permanence en mouvement. Leur présence entraîne une perturbation électrique qui les a amené à développer des technologies essentiellement basées sur la mécanique. Les Sab'eldune peuvent prendre n'importe quelle forme et plusieurs témoignages affirment qu'ils peuvent se reconstituer à partir de n'importe quel matériaux sous forme de poussière (cendre, sable, farines, etc.) Les Sab'eldune sont généralement perçus comme un peuple vindicatif, leur rôle majeur à l'origine du conflit Illyrien est admis par la plupart des autres peuples. Pour beaucoup de peuples des autres races, les Sab'eldune sont tous les mêmes mais il existe en réalité une grande diversité de peuples parmi les Sab'eldune. Selon leurs historiens, les Sab'eldune seraient en réalité issus de deux races différentes originaires de système solaires différents. 	Phase cristalline	fcc bcc hcp tetragnal	Tu dormais sous la forme d'une tornade d'un demi mètre de haut et de quelques centimètres de large. Tu t'agrandis jusqu'à ce que la tempête englobe toute la pièce ce qui te permet d'en sonder les moindres recoints. Tu réalises rapidement que la pièce dans laquelle tu te trouves est entièrement hermétique.	4	1100	Vitesse +15	Force -5				
Perception +1	Perception	Race Cybornétikr	La race Cybornétik est une des plus récentes races rattachée au règne minéral. Cette race autodéclarée réunit un groupe hétérogène de races issues de la robotique universelle. Après de longues années à développer des assistants robotisés, les diverses races de l'univers ont du statuer sur leur état d'être conscient. Après les procès de Nekat 20166 qui ont impliqués plusieurs miliers de systèmes solaires à travers l'univers, une large partie des robots ont acquis le statut de race à part entière. Leurs apparences sont variées et les technologies qui les animent également. En effet, les Cybornétik sont un agrégat d'être synthétiques conscients construits par les races naturelles à travers l'univers. La sensibilité des Cybornétik aux flux magiques est notoirement faible mais les publications scientifiques de Sociocybernétiques semblent montrer que la race est en train de se doter de nouvelles unités sensibles à la magie. Pour le moment elles sont encore très peu connues en dehors de leurs domaines.	non	non	Tu déclanche ton programme de remise à niveau. Aucune connexion n'étant disponible, tu réinitialise ta mise à jour précédente. Après quelques secondes tes capteurs optiques sont entièrement opérationnel ce qui te permet de rapidement apréhender ton environement.	0	350	Perseption +5					
Précision +1	Précision	Race Ar'gyl	Les Ar'gyl forment une société extrêmement fermée et hiérarchisée. Leurs relations avec les autres sociétés de l'univers se maintiennent au minimum vital. Leur planète de naissance semble entièrement composée d'Ar'gyl. En dehors des stations spatiales et de quelques vaisseaux d'exploration, la plupart des Ar'gyl restent sur leur planète natale. Les membres les plus récents ressemblent à des formes mouvantes d'argile tandis que les plus anciens s'enfoncent vers le coeur de la planète ce qui altère leur apparence et leur comportement. Les Ar'gyl les plus respectables sont ceux qui sont les plus proches du coeur de la planète. Le conflit Illyrien a amené les Ar'gyll a nuancer leur politique isolationniste, en s'ouvrant vers l'extérieur. En effet, la destruction de plusieurs planétoïdes leur a montré qu'ils étaient désormais directement menacés. Les Ar'gyl sont des pacifistes qui tentent d'influencer les autres peuples. Leur influence est désormais croissante à travers leur religion de type Gaïa qui affirme que tous les êtres conscients sont liés par la vie. Cette nouvelle croyance a amené certains des croyants, les Gaä'gyl à remettre en cause les conclusions des procès de Nekat en 20166. Pour les orthodoxes Gaä'gyl, les Cybornétik ne peuvent par revendiquer le statut de race dans la mesure où ils ne sont que des outils et non des êtres vivants.	non	non	Tu sens d'abord la tiédeur de la pierre sous toi. En t'étalant, tu parviens doucement à comprendre que tu es sur un plateforme de quelques mettres carrés de superficie. Tu décide de prendre le temps d'explorer ton environement. Après quelques heures d'exploration tactile tu arrive à avoir une idée relativement précise de ton environement.	10	30000	Endurence +10					
Social +2	Social	Race Grannti	Les Grannti sont une race d'êtres conscients dont la taille varie entre 5 et 7 mètres de haut. Ils sont d'une puissance physique et d'une résistance proverbiale en revanche leur intelligence moyenne est rarement supérieure à celle d'un enfant humain de 4 ou 5 ans. Leur formidable puissance physique a été très régulièrement mise à profit lors de conflits armés. Si bien que la culture des Grannti est désormais entièrement tournée autour des exploits militaires et des valeurs guerrières. Leur intelligence limitée les a obligé à rechercher des alliés pour mener leurs vies guerrières au delà des frontières de leurs mondes. Les Grannti sont très sociables et de bonne compagnie tout en se montrant impitoyables au combat et avec les traitres. Leur stature imposante et la légère radioactivité qu'ils génèrent en font tout de même des hôtes assez dangereux pour les races les plus fragiles. Ils ressemblent à des statues vivantes.	Sexe	m f	Tu es dans une position très inconfortable. Tes yeux ne se sont pas encore aclimatés à la lumière. Le haut de ton corps repose sur une surface plane mais cette surface s'arrête au millieu de ton ventre. Tes jambes reposent un peu plus bas sur une autre surface plane. Tu essaie de te mettre à genoux, mais alors que ton corps approche d'une position verticale tu te cogne violemment la tête contre un plafond. Tu te ralonge rapidement dans ta position initiale. Tu as besoin de quelques secondes pour reprendre tes esprits. Tes yeux se sont maintenant accomodés de la lumière. Tu vois que la hauteur du plafond te permet tout juste de te tenir assis. Tu t'assois donc et tu regarde autour de toi.	8	500	Social +15	Intelligence -15				
Intelligence +1	Intelligence	Race Bazalti	Le corps des membres de la race Bazalti est sombre et anguleux. Leur race est réputée pour son appétit pour les conflits et la brutalité de leurs moeurs. Leur intelligence est particulièrement raffinée, ils sont très rapides et font des combattants à la fois féroces et puissants. Jusqu'ici leur extension territoriale est limitée par leurs conflits internes. Les milliers de tribus de la race se partagent l'un des territoires les plus étendus de la Galaxie mais les frontières en sont très mouvantes et il n'est pas rare que les autres races profitent de leurs conflits internes pour coloniser l'une des planètes de leur territoire. Ce type d'agression extérieure peut parfois donner lieu à une alliance entre les tribus Bazalti, ce type d'alliance est appelée Sudourr. La Sudourr commence par un combat rituel entre les champions des tribus qui font alliance, ce combat peut durer plusieurs dizaines d'années car les combattants Bazalti ne sont jamais touchés par la fatigue. L'histoire a montré qu'une Sudourr n'est jamais une bonne nouvelle pour les autres races ce qui les a amené à comploter en permanence pour nourir les dissensions entre Bazalti.	non	non	Tu sens sous toi un matelas dur. Après quelques seconde d'aclimatation tes yeux se sont habitués à la lumière. Tu regardes tout autour de toi.	5	400	Intelligence +10	Vitesse +7	Sensibilité -20			
Sensibilité +1	Sensibilité	Race Corayy	La race Corayy est aquatique. Leur temporalité est tellement lente que lors des premiers contacts avec les humains, ces derniers ne prirent pas consience du fait qu'ils étaient une race intelligente. Ils ont exploité le corps minéral d'une famille complète pendant soixante ans avant que ces derniers ne leur signalent très poliment qu'ils étaient en train de creuser des trous dans leur corps. Les humains durent payer des dommages et intérêts et présentèrent leurs excuses officiellement. Les Corayy ne revinrent jamais sur cette affaire et leurs relations diplomatiques sont excellentes avec les différents peuples de l'univers. La nature affable et pacifique des Corayy en fait de parfaits diplomates qui sont généralement sollicités pour régler les problèmes les plus épineux de la galaxie. Cependant, cela nécessite une logistique certaine puisque les Corayy vivent uniquement sous l'eau et à une pression équivalente à 30 fois celle de la surface terrestre. Pour cela, des ingénieurs humains ont créé des batiscaphes très modulaires qui permettent aux Corayy de se déplacer à travers la galaxie.	non	non	Tu sens une force très puissante s'exercer sur tout ton corps. La pression est bien trop faible autour de toi. Comment as-tu pu arriver jusqu'ici? Tu n'as pas le temps de trouver la moindre réponse à cela que ton corps explose. GAME OVER	5	800	Sensibilité +15	Force -10				
Volonté +2	Volonté	Race Astreroidd	La race Astreroidd est l'une des plus mystérieuse actuellement connue. Les Astreroidd vivent dans l'espace, ils sont constitués de corps célestes qui ne semblent pas avoir le moindre moyen de se déplacer par eux même. Pourtant on les trouve toujours dans les lieux les plus habités de la galaxie. Leur habitat étant le vide, ils ont développé des moyens de communication basés uniquement sur les rayonnements électromagnétiques. C'est de cette manière qu'ils entrent en communication avec les autres peuples. Après une observation qui peut durer plusieurs années, les Astreroidd envoyent sur onde radio des messages aux vaisseaux des peuples intelligents qu'ils croisent. Il est impossible de distinguer un Astreroidd d'un autre corps céleste non conscient ce qui a pu créer au fil des siècles de nombreuses incompréhensions. Les Astreroidd semblent capables de vivre éternellement alors même qu'ils ne semblent pas avoir de nourriture, d'air ou même de moyen de se reproduire. Ils sont également très au courant de ce qui se passe pour les peuples des trois règnes. Certains peuples qui n'utilisent pas de technologie radio pour communiquer ont témoigné du fait que les Astreroidd semblaient pourtant connaître en détail leur culture et même les dernières actualités. Cela a poussé plusieurs théoriciens à imaginer que les Astreroidd avaient la possibilité de "hanter" d'autres être vivants en utilisant les flux magiques. Bien que cela n'ait jamais été prouvé, il est clair que les Astreroidd sont très souvent sollicités par les autres peuples lorsqu'il s'agit d'espionner ou d'obtenir des renseignements sur leurs ennemis. Leur nature en fait les espions parfaits.	Phase cristalline	fcc bcc hcp tetragonal	Tu envoies des ondes électromagnétiques autour de toi. Celle ci sont renvoyés par les obstacles alentours puis captés par tout ton corps. Cela te permet très rapidement d'avoir une connaissance précise de ton environement. Une sensation de vide te remplit alors que tu réalises que tu n'as aucune perception de ce qu'il y a au delà des murs qui t'entourent. Malheureusement, tu n'as aucun moyen de te déplacer.	5	100000	Volonté +30	Force +20	Endurence +20	Intelligence +10	Perseption +15	Vitesse Max 1
